sample_id,person,split,person_hash
0,Tom_Amstutz,train,56f181748065788a
1,Kimi_Raikkonen,train,0d7cb0717fd94931
2,Pedro_Almodovar,test,8e9d2278c817e631
3,John_Rosa,train,240bb1159a88beb5
4,Jane_Rooney,train,b172ecb652216bf8
5,Mike_Brey,train,a451e9141af98999
6,Keith_Brown,train,207de6619d2ed346
7,Justin_Timberlake,train,2a4b763211d8a751
8,Lleyton_Hewitt,train,acaab8dd06d81043
9,Thomas_Wilkens,train,ab6dc1704bf7d153
10,Ian_Thorpe,train,feb00282263c5023
11,Christine_Todd_Whitman,train,a67911b5f054e6d8
12,Yekaterina_Guseva,train,eabcbc64e2c8c119
13,George_W_Bush,train,684db10c221693d0
14,Martha_Stewart,train,3b61b575261b9462
15,Jesse_James,train,b1bd4adc11223acf
16,John_Abizaid,train,72cdfda3090137b3
17,Tim_Henman,train,865d5b800bf34b06
18,Pieter_Bouw,train,c6900a343578b1ad
19,Lance_Armstrong,train,1e137b5093b6b9c6
20,John_Marburger,train,a9217df95c4f5c0b
21,Al_Gore,test,f15296a08f1b35f1
22,Donald_Rumsfeld,train,dbc587b612218608
23,Andy_Roddick,test,0634ff4d5feefd72
24,Jeremy_Greenstock,train,eef6ef79473ae277
25,Junko_Tabei,train,83678d423392d019
26,Richard_Haass,train,77cf21212c8894b1
27,Paul_Coppin,test,3bc951ceacbc5292
28,Dinah_Turner,train,7ea9a09cb8b3e914
29,George_W_Bush,train,684db10c221693d0
30,Guenter_Verheugen,train,6a2ad69dc7ad3c71
31,Princess_Elisabeth,val,b14e5d6c44dd5e63
32,Doug_Collins,train,260e03b1c7943621
33,Larry_Hahn,val,91410c1cb42b2ea5
34,Natalie_Cole,train,786f7255de6f6705
35,Valery_Giscard_dEstaing,train,ccaa1a2fad5531eb
36,Gregory_Hines,train,b3c926dc26e0ab5a
37,Mitt_Romney,train,efe82cdbe8ca7d3c
38,Ahmed_Chalabi,train,8ae27a3557d96301
39,Lucio_Gutierrez,train,225d5c8cb21d2b65
40,Bridgette_Wilson-Sampras,train,39a3210a0fc483c2
41,Tom_Daschle,train,15dcfe16d1d4e146
42,Jean_Carnahan,train,b6feb311dee912c2
43,George_W_Bush,train,684db10c221693d0
44,Megawati_Sukarnoputri,train,91f5b49ea5a87c21
45,Tony_Blair,test,41d5bfb14019fad8
